Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.879929	1	0	1	-98.2692
0.880929	1	0	1	-98.2692
0.881929	1	0	1	-98.2692
0.882929	1	0	1	-98.2692
0.883929	1	0	1	-98.2692
0.884929	1	0	1	-98.2692
0.885929	1	0	1	-98.2692
0.886929	1	0	1	-98.2692
0.887929	1	0	1	-98.2692
0.888929	1	0	1	-98.2692
0.889929	1	0	1	-98.2692
0.890929	1	0	1	-98.2692
0.891929	1	0	1	-98.2692
0.892929	1	0	1	-98.2692
0.893929	1	0	1	-98.2692
0.894929	1	0	1	-98.2692
0.895929	1	0	1	-98.2692
0.896929	1	0	1	-98.2692
0.897929	1	0	1	-98.2692
0.898929	1	0	1	-98.2692
0.899929	1	0	1	-98.2692
0.900929	1	0	1	-98.2692
0.901929	1	0	1	-98.2692
0.902929	1	0	1	-98.2692
0.903929	1	0	1	-98.2692
0.904929	1	0	1	-98.2692
0.905929	1	0	1	-98.2692
0.906929	1	0	1	-98.2692
0.907929	1	0	1	-98.2692
0.908929	1	0	1	-98.2692
0.909929	1	0	1	-98.2692
0.910929	1	0	1	-98.2692
0.911929	1	0	1	-98.2692
0.912929	1	0	1	-98.2692
0.913929	1	0	1	-98.2692
0.914929	1	0	1	-98.2692
0.915929	1	0	1	-98.2692
0.916929	1	0	1	-98.2692
0.917929	1	0	1	-98.2692
0.918929	1	0	1	-98.2692
0.919929	1	0	1	-98.2692
0.920929	1	0	1	-98.2692
0.921929	1	0	1	-98.2692
0.922929	1	0	1	-98.2692
0.923929	1	0	1	-98.2692
0.924929	1	0	1	-98.2692
0.925929	1	0	1	-98.2692
0.926929	1	0	1	-98.2692
0.927929	1	0	1	-98.2692
0.928929	1	0	1	-98.2692
0.929929	1	0	1	-98.2692
0.930857	1	0	1	-98.2692
0.930929	1	0	1	-98.2692
0.931929	1	0	1	-98.2692
0.932929	1	0	1	-98.2692
0.933929	1	0	1	-98.2692
0.934929	1	0	1	-98.2692
0.935929	1	0	1	-98.2692
0.936929	1	0	1	-98.2692
0.937929	1	0	1	-98.2692
0.938929	1	0	1	-98.2692
0.939929	1	0	1	-98.2692
0.940929	1	0	1	-98.2692
0.941929	1	0	1	-98.2692
0.942929	1	0	1	-98.2692
0.943929	1	0	1	-98.2692
0.944929	1	0	1	-98.2692
0.945929	1	0	1	-98.2692
0.946929	1	0	1	-98.2692
0.947929	1	0	1	-98.2692
0.948929	1	0	1	-98.2692
0.949929	1	0	1	-98.2692
0.950929	1	0	1	-98.2692
0.951929	1	0	1	-98.2692
0.952929	1	0	1	-98.2692
0.953929	1	0	1	-98.2692
0.954929	1	0	1	-98.2692
0.955929	1	0	1	-98.2692
0.956929	1	0	1	-98.2692
0.957929	1	0	1	-98.2692
0.958929	1	0	1	-98.2692
0.959929	1	0	1	-98.2692
0.960929	1	0	1	-98.2692
0.961929	1	0	1	-98.2692
0.962929	1	0	1	-98.2692
0.963929	1	0	1	-98.2692
0.964929	1	0	1	-98.2692
0.965929	1	0	1	-98.2692
0.966929	1	0	1	-98.2692
0.967929	1	0	1	-98.2692
0.968929	1	0	1	-98.2692
0.969929	1	0	1	-98.2692
0.970929	1	0	1	-98.2692
0.971929	1	0	1	-98.2692
0.972929	1	0	1	-98.2692
0.973929	1	0	1	-98.2692
0.974929	1	0	1	-98.2692
0.975929	1	0	1	-98.2692
0.976929	1	0	1	-98.2692
0.977929	1	0	1	-98.2692
0.978929	1	0	1	-98.2692
0.979929	1	0	1	-98.2692
0.980929	1	0	1	-98.2692
0.981929	1	0	1	-98.2692
0.982929	1	0	1	-98.2692
0.983929	1	0	1	-98.2692
0.984929	1	0	1	-98.2692
0.985929	1	0	1	-98.2692
0.986929	1	0	1	-98.2692
0.987929	1	0	1	-98.2692
0.988929	1	0	1	-98.2692
0.989929	1	0	1	-98.2692
0.990929	1	0	1	-98.2692
0.991929	1	0	1	-98.2692
0.992929	1	0	1	-98.2692
0.993929	1	0	1	-98.2692
0.994929	1	0	1	-98.2692
0.995929	1	0	1	-98.2692
0.996929	1	0	1	-98.2692
0.997929	1	0	1	-98.2692
0.998929	1	0	1	-98.2692
0.999929	1	0	1	-98.2692
1.00093	1	0	1	-98.2692
1.00193	1	0	1	-98.2692
1.00293	1	0	1	-98.2692
1.00393	1	0	1	-98.2692
1.00493	1	0	1	-98.2692
1.00593	1	0	1	-98.2692
1.00693	1	0	1	-98.2692
1.00793	1	0	1	-98.2692
1.00893	1	0	1	-98.2692
1.00993	1	0	1	-98.2692
1.01086	1	0	1	-98.2692
1.01093	1	0	1	-98.2692
1.01193	1	0	1	-98.2692
1.01293	1	0	1	-98.2692
1.01393	1	0	1	-98.2692
1.01493	1	0	1	-98.2692
1.01593	1	0	1	-98.2692
1.01693	1	0	1	-98.2692
1.01793	1	0	1	-98.2692
1.01893	1	0	1	-98.2692
1.01993	1	0	1	-98.2692
1.02093	1	0	1	-98.2692
1.02193	1	0	1	-98.2692
1.02293	1	0	1	-98.2692
1.02393	1	0	1	-98.2692
1.02493	1	0	1	-98.2692
1.02593	1	0	1	-98.2692
1.02693	1	0	1	-98.2692
1.02793	1	0	1	-98.2692
1.02893	1	0	1	-98.2692
1.02993	1	0	1	-98.2692
1.03093	1	0	1	-98.2692
1.03193	1	0	1	-98.2692
1.03293	1	0	1	-98.2692
1.03393	1	0	1	-98.2692
1.03493	1	0	1	-98.2692
1.03593	1	0	1	-98.2692
1.03693	1	0	1	-98.2692
1.03793	1	0	1	-98.2692
1.03893	1	0	1	-98.2692
1.03993	1	0	1	-98.2692
1.04093	1	0	1	-98.2692
1.04193	1	0	1	-98.2692
1.04293	1	0	1	-98.2692
1.04393	1	0	1	-98.2692
1.04493	1	0	1	-98.2692
1.04593	1	0	1	-98.2692
1.04693	1	0	1	-98.2692
1.04793	1	0	1	-98.2692
1.04893	1	0	1	-98.2692
1.04993	1	0	1	-98.2692
1.05093	1	0	1	-98.2692
1.05193	1	0	1	-98.2692
1.05293	1	0	1	-98.2692
1.05393	1	0	1	-98.2692
1.05493	1	0	1	-98.2692
1.05593	1	0	1	-98.2692
1.05693	1	0	1	-98.2692
1.05793	1	0	1	-98.2692
1.05893	1	0	1	-98.2692
1.05993	1	0	1	-98.2692
1.06093	1	0	1	-98.2692
1.06193	1	0	1	-98.2692
1.06293	1	0	1	-98.2692
1.06393	1	0	1	-98.2692
1.06493	1	0	1	-98.2692
1.06593	1	0	1	-98.2692
1.06693	1	0	1	-98.2692
1.06793	1	0	1	-98.2692
1.06893	1	0	1	-98.2692
1.06993	1	0	1	-98.2692
1.07093	1	0	1	-98.2692
1.07193	1	0	1	-98.2692
1.07293	1	0	1	-98.2692
1.07393	1	0	1	-98.2692
1.07493	1	0	1	-98.2692
1.07593	1	0	1	-98.2692
1.07693	1	0	1	-98.2692
1.07793	1	0	1	-98.2692
1.07893	1	0	1	-98.2692
1.07993	1	0	1	-98.2692
1.08093	1	0	1	-98.2692
1.08193	1	0	1	-98.2692
1.08293	1	0	1	-98.2692
1.08393	1	0	1	-98.2692
1.08493	1	0	1	-98.2692
1.08593	1	0	1	-98.2692
1.08693	1	0	1	-98.2692
1.08793	1	0	1	-98.2692
1.08893	1	0	1	-98.2692
1.08993	1	0	1	-98.2692
1.09086	1	0	1	-98.2692
1.09093	1	0	1	-98.2692
1.09193	1	0	1	-98.2692
1.09293	1	0	1	-98.2692
1.09393	1	0	1	-98.2692
1.09493	1	0	1	-98.2692
1.09593	1	0	1	-98.2692
1.09693	1	0	1	-98.2692
1.09793	1	0	1	-98.2692
1.09893	1	0	1	-98.2692
1.09993	1	0	1	-98.2692
1.10093	1	0	1	-98.2692
1.10193	1	0	1	-98.2692
1.10293	1	0	1	-98.2692
1.10393	1	0	1	-98.2692
1.10493	1	0	1	-98.2692
1.10593	1	0	1	-98.2692
1.10693	1	0	1	-98.2692
1.10793	1	0	1	-98.2692
1.10893	1	0	1	-98.2692
1.10993	1	0	1	-98.2692
1.11093	1	0	1	-98.2692
1.11193	1	0	1	-98.2692
1.11293	1	0	1	-98.2692
1.11393	1	0	1	-98.2692
1.11493	1	0	1	-98.2692
1.11593	1	0	1	-98.2692
1.11693	1	0	1	-98.2692
1.11793	1	0	1	-98.2692
1.11893	1	0	1	-98.2692
1.11993	1	0	1	-98.2692
1.12093	1	0	1	-98.2692
1.12193	1	0	1	-98.2692
1.12293	1	0	1	-98.2692
1.12393	1	0	1	-98.2692
1.12493	1	0	1	-98.2692
1.12593	1	0	1	-98.2692
1.12693	1	0	1	-98.2692
1.12793	1	0	1	-98.2692
1.12893	1	0	1	-98.2692
1.12993	1	0	1	-98.2692
1.13093	1	0	1	-98.2692
