time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.00103	1	1	5	8688	0.00302856
1.00203	1	1	5	8688	0.00302856
1.00303	1	1	5	8688	0.00302856
1.00403	1	1	5	8688	0.00302856
1.00503	1	1	5	8688	0.00302856
1.00603	1	1	5	8688	0.00302856
1.00703	1	1	5	8688	0.00302856
1.00803	1	1	5	8688	0.00302856
1.00903	1	1	5	8688	0.00302856
1.01003	1	1	5	8688	0.00302856
1.01096	1	1	5	7965	0.00295714
1.01203	1	1	5	8688	0.00302856
1.01303	1	1	5	8688	0.00302856
1.01403	1	1	5	8688	0.00302856
1.01503	1	1	5	8688	0.00302856
1.01603	1	1	5	8688	0.00302856
1.01703	1	1	5	8688	0.00302856
1.01803	1	1	5	8688	0.00302856
1.01903	1	1	5	8688	0.00302856
1.02003	1	1	5	8688	0.00302856
1.02103	1	1	5	8688	0.00302856
1.02203	1	1	5	8688	0.00302856
1.02303	1	1	5	8688	0.00302856
1.02403	1	1	5	8688	0.00302856
1.02503	1	1	5	8688	0.00302856
1.02603	1	1	5	8688	0.00302856
1.02703	1	1	5	8688	0.00302856
1.02803	1	1	5	8688	0.00302856
1.02903	1	1	5	8688	0.00302856
1.03003	1	1	5	8688	0.00302856
1.03103	1	1	5	8688	0.00302856
1.03203	1	1	5	8688	0.00302856
1.03303	1	1	5	8688	0.00302856
1.03403	1	1	5	8688	0.00302856
1.03503	1	1	5	8688	0.00302856
1.03603	1	1	5	8688	0.00302856
1.03703	1	1	5	8688	0.00302856
1.03803	1	1	5	8688	0.00302856
1.03903	1	1	5	8688	0.00302856
1.04003	1	1	5	8688	0.00302856
1.04103	1	1	5	8688	0.00302856
1.04203	1	1	5	8688	0.00302856
1.04303	1	1	5	8688	0.00302856
1.04403	1	1	5	8688	0.00302856
1.04503	1	1	5	8687	0.00302856
1.04603	1	1	5	8688	0.00302856
1.04703	1	1	5	8688	0.00302856
1.04803	1	1	5	8688	0.00302856
1.04903	1	1	5	8688	0.00302856
1.05003	1	1	5	8688	0.00302856
1.05103	1	1	5	8688	0.00302856
1.05203	1	1	5	8688	0.00302856
1.05303	1	1	5	8688	0.00302856
1.05403	1	1	5	8688	0.00302856
1.05503	1	1	5	8688	0.00302856
1.05603	1	1	5	8688	0.00302856
1.05703	1	1	5	8688	0.00302856
1.05803	1	1	5	8688	0.00302856
1.05903	1	1	5	8688	0.00302856
1.06003	1	1	5	8688	0.00302856
1.06103	1	1	5	8688	0.00302856
1.06203	1	1	5	8688	0.00302856
1.06303	1	1	5	8688	0.00302856
1.06403	1	1	5	8688	0.00302856
1.06503	1	1	5	8688	0.00302856
1.06603	1	1	5	8688	0.00302856
1.06703	1	1	5	8688	0.00302856
1.06803	1	1	5	8688	0.00302856
1.06903	1	1	5	8688	0.00302856
1.07003	1	1	5	8688	0.00302856
1.07103	1	1	5	8688	0.00302856
1.07203	1	1	5	8688	0.00302856
1.07303	1	1	5	8688	0.00302856
1.07403	1	1	5	8688	0.00302856
1.07503	1	1	5	8688	0.00302856
1.07603	1	1	5	8688	0.00302856
1.07703	1	1	5	8688	0.00302856
1.07803	1	1	5	8688	0.00302856
1.07903	1	1	5	8688	0.00302856
1.08003	1	1	5	8688	0.00302856
1.08103	1	1	5	8688	0.00302856
1.08203	1	1	5	8688	0.00302856
1.08303	1	1	5	8688	0.00302856
1.08403	1	1	5	8688	0.00302856
1.08503	1	1	5	8688	0.00302856
1.08603	1	1	5	8688	0.00302856
1.08703	1	1	5	8688	0.00302856
1.08803	1	1	5	8688	0.00302856
1.08903	1	1	5	8688	0.00302856
1.09003	1	1	5	8688	0.00302856
1.09096	1	1	5	7965	0.00295714
1.09203	1	1	5	8688	0.00302856
