time(s)	cellId	rnti	lcid	packetSize
0.916642	1	1	5	1030
0.916682	1	1	5	1030
0.916722	1	1	5	1030
0.916762	1	1	5	1030
0.916802	1	1	5	1030
0.916842	1	1	5	1030
0.916882	1	1	5	1030
0.916922	1	1	5	1030
0.916962	1	1	5	1030
0.917002	1	1	5	1030
0.917042	1	1	5	1030
0.917082	1	1	5	1030
0.917122	1	1	5	1030
0.917162	1	1	5	1030
0.917202	1	1	5	1030
0.917242	1	1	5	1030
0.917282	1	1	5	1030
0.917322	1	1	5	1030
0.917362	1	1	5	1030
0.917402	1	1	5	1030
0.917442	1	1	5	1030
0.917482	1	1	5	1030
0.917522	1	1	5	1030
0.917562	1	1	5	1030
0.917602	1	1	5	1030
0.917642	1	1	5	1030
0.917682	1	1	5	1030
0.917722	1	1	5	1030
0.917762	1	1	5	1030
0.917802	1	1	5	1030
0.917842	1	1	5	1030
0.917882	1	1	5	1030
0.917922	1	1	5	1030
0.917962	1	1	5	1030
0.918002	1	1	5	1030
0.918042	1	1	5	1030
0.918082	1	1	5	1030
0.918122	1	1	5	1030
0.918162	1	1	5	1030
0.918202	1	1	5	1030
0.918242	1	1	5	1030
0.918282	1	1	5	1030
0.918322	1	1	5	1030
0.918362	1	1	5	1030
0.918402	1	1	5	1030
0.918442	1	1	5	1030
0.918482	1	1	5	1030
0.918522	1	1	5	1030
0.918562	1	1	5	1030
0.918602	1	1	5	1030
0.918642	1	1	5	1030
0.918682	1	1	5	1030
0.918722	1	1	5	1030
0.918762	1	1	5	1030
0.918802	1	1	5	1030
0.918842	1	1	5	1030
0.918882	1	1	5	1030
0.918922	1	1	5	1030
0.918962	1	1	5	1030
0.919002	1	1	5	1030
0.919042	1	1	5	1030
0.919082	1	1	5	1030
0.919122	1	1	5	1030
0.919162	1	1	5	1030
0.919202	1	1	5	1030
0.919242	1	1	5	1030
0.919282	1	1	5	1030
0.919322	1	1	5	1030
0.919362	1	1	5	1030
0.919402	1	1	5	1030
0.919442	1	1	5	1030
0.919482	1	1	5	1030
0.919522	1	1	5	1030
0.919562	1	1	5	1030
0.919602	1	1	5	1030
0.919642	1	1	5	1030
0.919682	1	1	5	1030
0.919722	1	1	5	1030
0.919762	1	1	5	1030
0.919802	1	1	5	1030
0.919842	1	1	5	1030
0.919882	1	1	5	1030
0.919922	1	1	5	1030
0.919962	1	1	5	1030
0.920002	1	1	5	1030
0.920042	1	1	5	1030
0.920082	1	1	5	1030
0.920122	1	1	5	1030
0.920162	1	1	5	1030
0.920202	1	1	5	1030
0.920242	1	1	5	1030
0.920282	1	1	5	1030
0.920322	1	1	5	1030
0.920362	1	1	5	1030
0.920402	1	1	5	1030
0.920442	1	1	5	1030
0.920482	1	1	5	1030
0.920522	1	1	5	1030
0.920562	1	1	5	1030
0.920602	1	1	5	1030
0.920642	1	1	5	1030
0.920682	1	1	5	1030
0.920722	1	1	5	1030
0.920762	1	1	5	1030
0.920802	1	1	5	1030
0.920842	1	1	5	1030
0.920882	1	1	5	1030
0.920922	1	1	5	1030
0.920962	1	1	5	1030
0.921002	1	1	5	1030
0.921042	1	1	5	1030
0.921082	1	1	5	1030
0.921122	1	1	5	1030
0.921162	1	1	5	1030
0.921202	1	1	5	1030
0.921242	1	1	5	1030
0.921282	1	1	5	1030
0.921322	1	1	5	1030
0.921362	1	1	5	1030
0.921402	1	1	5	1030
0.921442	1	1	5	1030
0.921482	1	1	5	1030
0.921522	1	1	5	1030
0.921562	1	1	5	1030
0.921602	1	1	5	1030
0.921642	1	1	5	1030
0.921682	1	1	5	1030
0.921722	1	1	5	1030
0.921762	1	1	5	1030
0.921802	1	1	5	1030
0.921842	1	1	5	1030
0.921882	1	1	5	1030
0.921922	1	1	5	1030
0.921962	1	1	5	1030
0.922002	1	1	5	1030
0.922042	1	1	5	1030
